Time,Day,Day,Day,Day,Day,Day,Night,Night,Night,Night,Night,Night,Average UCYN-A Day,Average Whole Culture Day,Average UCYN-A Night,Average Whole Culture Night,logFC_Day,logFC_Night,Pvalue_Day,Pvalue_Night,Significant_Day,Significant_Night,Sequence source
Sample type,Isolated UCYNA,Isolated UCYNA,Isolated UCYNA,Whole culture,Whole culture,Whole culture,Isolated UCYNA,Isolated UCYNA,Isolated UCYNA,Whole culture,Whole culture,Whole culture,,,,,,,,,UCYN-A,Whole culture,
PG.ProteinAccessions,[13] 13.PG.Quantity,[14] 14.PG.Quantity,[15] 15.PG.Quantity,[16] 16.PG.Quantity,[17] 17.PG.Quantity,[18] 18.PG.Quantity,[19] 19.PG.Quantity,[20] 20.PG.Quantity,[21] 21.PG.Quantity,[22] 22.PG.Quantity,[23] 23.PG.Quantity,[24] 24.PG.Quantity,,,,,,,,,Not significant,,
24006-25230_1;SAG_S1_L001_R1_001_(paired)_co.g8,1847.35498,38906.53906,41574.19531,24933.41211,31834.62109,23539.77539,36764.55078,17158.43164,36949.05078,33137.15625,71096.15625,36534.125,NaN,26769.26953,30290.67773,46922.47917,-0.306190813,-0.351410276,0.836509241,0.798535686,Not significant,Not significant,B. bigelowii plastid
29094-29346_1,NaN,NaN,NaN,34735.56641,16488.68945,12710.16699,NaN,NaN,NaN,24595.29492,NaN,33582.85547,2045.861817,21311.47428,NaN,29089.0752,-17.43351007,-17.18046234,8.37485E-08,0.000123843,Whole culture,Whole culture,B. bigelowii plastid
BDA39162.1,1948.300537,2143.423096,NaN,NaN,NaN,NaN,3253.476074,339.7287903,532.2721558,NaN,NaN,NaN,8508.915018,NaN,1375.159007,NaN,13.52926904,13.42386666,0.01487349,0.000120296,UCYN-A,UCYN-A,UCYN-A genome
BDA39167.1,480.6942749,14094.70898,10951.3418,NaN,NaN,NaN,8926.873047,7118.572754,6407.625488,NaN,NaN,NaN,NaN,NaN,7484.357096,NaN,15.8379184,15.98563053,8.13163E-06,2.28986E-06,UCYN-A,UCYN-A,UCYN-A genome
BDA39168.1,NaN,NaN,NaN,NaN,NaN,NaN,1391.761963,NaN,2070.853027,NaN,NaN,NaN,145815.1406,NaN,1731.307495,NaN,0,13.40117982,1,0.003307709,Not significant,UCYN-A,UCYN-A genome
BDA39170.1,77051.10938,170314.1875,190080.125,51809.86328,52869.4375,34251.31641,122653.5625,128211.6328,114718.6484,35364.83203,48597.82031,39421.40625,212114.0781,46310.20573,121861.2812,41128.01953,1.430865067,1.81004255,0.292151873,0.17693548,Not significant,Not significant,UCYN-A genome
BDA39171.1,75775.25,252781.2656,307785.7188,180996.75,134636.0156,92791.07031,176784.75,210738.5156,188800.2813,170064.0156,237147.6719,100832.2031,243634.3802,136141.2786,192107.849,169347.9635,0.387197266,0.446869894,0.769963572,0.731535194,Not significant,Not significant,UCYN-A genome
BDA39172.1,92408.23438,265423.3125,373071.5938,165571.6094,178859.1875,91606.35938,89781.64844,104375.1016,83875.65625,132685.3438,106926.8438,134767.8594,48772.71029,145345.7188,92677.46876,124793.349,0.478689122,-0.199773486,0.715728169,0.877462863,Not significant,Not significant,UCYN-A genome
BDA39174.1,19520.60742,63428.44531,63369.07813,35132.84766,30195.62891,29302.01367,20769.03906,20682.11914,18330.75,31311.9707,32390.69141,26233.80273,2963.054199,31543.49675,19927.30273,29978.82161,0.377407589,-0.351435154,0.779197886,0.80224324,Not significant,Not significant,UCYN-A genome
BDA39176.1,2963.054199,NaN,NaN,NaN,NaN,NaN,385.5860291,496.4750061,1641.922729,NaN,NaN,NaN,10551.79004,NaN,841.3279214,NaN,13.27839952,12.99434888,0.064777122,0.000127885,Not significant,UCYN-A,UCYN-A genome
