Accession,Description
BDA40347.1,hypothetical protein CPARK_000118500 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40346.1,peptide chain release factor 3 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40345.1,hypothetical protein CPARK_000118300 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40344.1,hypothetical protein CPARK_000118200 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40343.1,hypothetical protein CPARK_000118100 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40342.1,hypothetical protein CPARK_000118000 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40341.1,teichoic acids export ATP-binding protein TagH [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40340.1,dTDP-glucose 4
BDA40339.1,hypothetical protein CPARK_000117700 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40338.1,hypothetical protein CPARK_000117600 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40337.1,hypothetical protein CPARK_000117500 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40336.1,tRNA (guanine-N(7)-)-methyltransferase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40335.1,hypothetical protein CPARK_000117300 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40334.1,1-acyl-sn-glycerol-3-phosphate acyltransferase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40333.1,hypothetical protein CPARK_000117100 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40332.1,glutamyl-tRNA reductase [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40331.1,hypothetical protein CPARK_000116900 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40330.1,hypothetical protein CPARK_000116800 [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
BDA40329.1,lipopolysaccharide export system ATP-binding protein LptB [cyanobacterium endosymbiont of Braarudosphaera bigelowii]
