target,similarity,From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Gene Ontology (GO),Active site,Binding site,Catalytic activity,Cofactor,EC number,Function [CC],Pathway,Rhea ID,Site,Subunit structure,Chain,Signal peptide,AlphaFoldDB
A0A7S4VXY4,0.9962999820709229,A0A7S4VXY4,A0A7S4VXY4,unreviewed,A0A7S4VXY4_9DINO,RNA-directed RNA polymerase,AMON00008_LOCUS46843,Alexandrium monilatum,936.0,,,,,,,,,,,,,,A0A7S4VXY4;
A0A2P6U2X1,0.996999979019165,A0A2P6U2X1,A0A2P6U2X1,unreviewed,A0A2P6U2X1_CHLSO,Adenosine deaminase,C2E21_0934,Chlorella sorokiniana (Freshwater green alga),841.0,deaminase activity [GO:0019239],,,"CATALYTIC ACTIVITY: Reaction=H(+) + H2O + N(6)-methyl-AMP = IMP + methylamine; Xref=Rhea:RHEA:16001, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:58053, ChEBI:CHEBI:59338, ChEBI:CHEBI:144842; Evidence={ECO:0000256|ARBA:ARBA00036622}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:16002; Evidence={ECO:0000256|ARBA:ARBA00036622};",COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Evidence={ECO:0000256|ARBA:ARBA00001947};,,,,RHEA:16001,,SUBUNIT: Monomer. {ECO:0000256|ARBA:ARBA00011245}.,"CHAIN 21..841; /evidence=""ECO:0000256|SAM:SignalP""; /id=""PRO_5015124362""","SIGNAL 1..20; /evidence=""ECO:0000256|SAM:SignalP""",A0A2P6U2X1;
A0A1Q9EE55,0.9955999851226807,A0A1Q9EE55,A0A1Q9EE55,unreviewed,A0A1Q9EE55_SYMMI,YHYH domain-containing protein,AK812_SmicGene11064,Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica),1230.0,,,,,,,,,,,,,,A0A1Q9EE55;
A0A8J4ANT7,0.9952999949455261,A0A8J4ANT7,A0A8J4ANT7,unreviewed,A0A8J4ANT7_9CHLO,Transmembrane protein,Vafri_2324,Volvox africanus,439.0,membrane [GO:0016020],,,,,,,,,,,,,
A0A6S7M634,0.9962000250816345,A0A6S7M634,A0A6S7M634,,A0A6S7M634_LACSI,deleted,,,,,,,,,,,,,,,,,
A0A0G4FVX8,0.9966999888420105,A0A0G4FVX8,A0A0G4FVX8,unreviewed,A0A0G4FVX8_VITBC,Leucine-rich repeat-containing N-terminal plant-type domain-containing protein,Vbra_411,Vitrella brassicaformis (strain CCMP3155),468.0,,,,,,,,,,,,"CHAIN 20..468; /note=""Leucine-rich repeat-containing N-terminal plant-type domain-containing protein""; /evidence=""ECO:0000256|SAM:SignalP""; /id=""PRO_5005189142""","SIGNAL 1..19; /evidence=""ECO:0000256|SAM:SignalP""",A0A0G4FVX8;
A0A7S2XLU8,0.9952999949455261,A0A7S2XLU8,A0A7S2XLU8,unreviewed,A0A7S2XLU8_9STRA,Beta-galactosidase,ASEP1449_LOCUS1801,Attheya septentrionalis,437.0,,,,,,,,,,,,,,A0A7S2XLU8;
R1C1D5,0.9950000047683716,R1C1D5,R1C1D5,unreviewed,R1C1D5_EMIHU,START domain-containing protein,EMIHUDRAFT_119192,Emiliania huxleyi (Coccolithophore) (Pontosphaera huxleyi),927.0,membrane [GO:0016020],,,,,,,,,,,,,
A0A1I8G0P5,0.9954000115394592,A0A1I8G0P5,A0A1I8G0P5,unreviewed,A0A1I8G0P5_9PLAT,Myb-like DNA-binding domain-containing protein,,Macrostomum lignano,961.0,,,,,,,,,,,,,,A0A1I8G0P5;
A0A1X6NMX6,0.8531419235504245,A0A1X6NMX6,A0A1X6NMX6,unreviewed,A0A1X6NMX6_PORUM,Basic proline-rich protein-like,BU14_0994s0003,Porphyra umbilicalis (Purple laver) (Red alga),302.0,,,,,,,,,,,,,,A0A1X6NMX6;
A0A7S4S2Y5,0.996399998664856,A0A7S4S2Y5,A0A7S4S2Y5,unreviewed,A0A7S4S2Y5_9DINO,Glycosyltransferase 2-like domain-containing protein,AMON00008_LOCUS43323,Alexandrium monilatum,950.0,,,,,,,,,,,,,,A0A7S4S2Y5;
A0A2E7W336,0.9957000017166138,A0A2E7W336,A0A2E7W336,unreviewed,A0A2E7W336_9PROT,PDZ domain-containing protein,CMM25_04335,Rhodospirillaceae bacterium,1163.0,,,,,,,,,,,,,,A0A2E7W336;
A0A7S4PVH9,0.9952999949455261,A0A7S4PVH9,A0A7S4PVH9,unreviewed,A0A7S4PVH9_9DINO,R3H domain-containing protein,AMON00008_LOCUS3624,Alexandrium monilatum,1063.0,nucleic acid binding [GO:0003676],,,,,,,,,,,,,A0A7S4PVH9;
A0A6J4KNA5,0.8728646899032881,A0A6J4KNA5,A0A6J4KNA5,unreviewed,A0A6J4KNA5_9BACT,Negative regulator of beta-lactamase expression,AVDCRST_MAG11-1407,uncultured Gemmatimonadaceae bacterium,422.0,,,,,,,,,,,,,,A0A6J4KNA5;
A0A812IEQ2,0.996399998664856,A0A812IEQ2,A0A812IEQ2,unreviewed,A0A812IEQ2_9DINO,AxeA1 protein,axeA1 SNAT2548_LOCUS3896,Symbiodinium natans,460.0,"dioxygenase activity [GO:0051213]; iron ion binding [GO:0005506]; L-ascorbic acid binding [GO:0031418]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]",,,,COFACTOR: Name=L-ascorbate; Xref=ChEBI:CHEBI:38290; Evidence={ECO:0000256|ARBA:ARBA00001961};,,,,,,,,,A0A812IEQ2;
A0A0M0JP94,0.9958999752998352,A0A0M0JP94,A0A0M0JP94,unreviewed,A0A0M0JP94_9EUKA,EF-hand domain-containing protein,Ctob_012019,Chrysochromulina tobinii,1625.0,calcium ion binding [GO:0005509],,,,,,,,,,,,,
A0A0P0V8L7,0.9097334262309644,A0A0P0V8L7,A0A0P0V8L7,unreviewed,A0A0P0V8L7_ORYSJ,Os01g0764850 protein,Os01g0764850 OSNPB_010764850,Oryza sativa subsp. japonica (Rice),431.0,,,,,,,,,,,,,,A0A0P0V8L7;
A0A812ZJT0,0.9955999851226807,A0A812ZJT0,A0A812ZJT0,unreviewed,A0A812ZJT0_9DINO,CUB domain-containing protein,STRI2592_LOCUS43159,Symbiodinium sp. CCMP2592,1712.0,,,,,,,,,,,,,,
A0A2P6THC0,0.9951000213623047,A0A2P6THC0,A0A2P6THC0,unreviewed,A0A2P6THC0_CHLSO,Epimerase isoform B,C2E21_7577,Chlorella sorokiniana (Freshwater green alga),625.0,,,,,,,,,,,,,,A0A2P6THC0;
A0A2V0NUH9,0.9972000122070312,A0A2V0NUH9,A0A2V0NUH9,unreviewed,A0A2V0NUH9_9CHLO,Carboxypeptidase,Rsub_03844,Raphidocelis subcapitata,678.0,metallocarboxypeptidase activity [GO:0004181]; proteolysis [GO:0006508],,,,,,,,,,,"CHAIN 26..678; /note=""Carboxypeptidase""; /evidence=""ECO:0000256|SAM:SignalP""; /id=""PRO_5016047341""","SIGNAL 1..25; /evidence=""ECO:0000256|SAM:SignalP""",A0A2V0NUH9;
A0A813DLS6,0.9957000017166138,A0A813DLS6,A0A813DLS6,unreviewed,A0A813DLS6_POLGL,Cytochrome P450,PGLA1383_LOCUS6293,Polarella glacialis (Dinoflagellate),1114.0,"heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]",,,,,,,,,,,,,A0A813DLS6;
E1Z3A7,0.9955999851226807,E1Z3A7,E1Z3A7,unreviewed,E1Z3A7_CHLVA,AB hydrolase-1 domain-containing protein,CHLNCDRAFT_56595,Chlorella variabilis (Green alga),708.0,membrane [GO:0016020],,,,,,,,,,,,,E1Z3A7;
A0A813ICY9,0.9955000281333923,A0A813ICY9,A0A813ICY9,unreviewed,A0A813ICY9_POLGL,Phytase-like domain-containing protein,PGLA2088_LOCUS6054,Polarella glacialis (Dinoflagellate),471.0,membrane [GO:0016020],,,,,,,,,,,,,A0A813ICY9;
A0A7S2W2T9,0.9954000115394592,A0A7S2W2T9,A0A7S2W2T9,unreviewed,A0A7S2W2T9_9STRA,Phospholipase/carboxylesterase/thioesterase domain-containing protein,RMAR1173_LOCUS1990,Rhizochromulina marina,489.0,hydrolase activity [GO:0016787],,,,,,,,,,,,,A0A7S2W2T9;
A0A812Z0E2,0.996399998664856,A0A812Z0E2,A0A812Z0E2,unreviewed,A0A812Z0E2_9DINO,Dhrs1 protein,Dhrs1 SLIN2456_LOCUS30434,Symbiodinium sp. CCMP2456,891.0,membrane [GO:0016020]; oxidoreductase activity [GO:0016491]; cell communication [GO:0007154],,,,,,,,,,,,,A0A812Z0E2;
